solver,implementation,nranks,n1,n2,n3,nsys,nrow_min,nrow_max,iter,iterations,mpi_mode,total_s_max,total_s_avg
tdma,fortran-original,2,128,128,4096,16384,2048,2048,9,10,device,  4.1754359999999907E-03,  4.1719204999999954E-03
tdma,cuda-cxx,2,128,128,4096,16384,2048,2048,0,10,host,0.039353375,0.039323901
tdma,cuda-cxx,2,128,128,4096,16384,2048,2048,1,10,host,0.005462257,0.005456989
tdma,cuda-cxx,2,128,128,4096,16384,2048,2048,2,10,host,0.004411541,0.004409142
tdma,cuda-cxx,2,128,128,4096,16384,2048,2048,3,10,host,0.0043979,0.00439464
tdma,cuda-cxx,2,128,128,4096,16384,2048,2048,4,10,host,0.004405541,0.004402827
tdma,cuda-cxx,2,128,128,4096,16384,2048,2048,5,10,host,0.004397179,0.00439439
tdma,cuda-cxx,2,128,128,4096,16384,2048,2048,6,10,host,0.004398852,0.0043952815
tdma,cuda-cxx,2,128,128,4096,16384,2048,2048,7,10,host,0.004407835,0.004404505
tdma,cuda-cxx,2,128,128,4096,16384,2048,2048,8,10,host,0.004397609,0.004396187
tdma,cuda-cxx,2,128,128,4096,16384,2048,2048,9,10,host,0.004399262,0.0043983505
tdma,fortran-original,4,64,64,2048,4096,512,512,0,10,device,  9.1732959000000003E-02,  9.1719952250000000E-02
tdma,fortran-original,4,64,64,2048,4096,512,512,1,10,device,  9.3303999999999609E-04,  9.1517824999999900E-04
tdma,fortran-original,4,64,64,2048,4096,512,512,2,10,device,  9.2856400000000672E-04,  9.1067150000000499E-04
tdma,fortran-original,4,64,64,2048,4096,512,512,3,10,device,  1.2579380000000001E-03,  1.2412299999999994E-03
tdma,fortran-original,4,64,64,2048,4096,512,512,4,10,device,  9.2608900000000494E-04,  9.0838825000000289E-04
tdma,fortran-original,4,64,64,2048,4096,512,512,5,10,device,  9.2708099999999627E-04,  9.0923150000000313E-04
tdma,fortran-original,4,64,64,2048,4096,512,512,6,10,device,  9.2532900000000251E-04,  9.1068425000000175E-04
tdma,fortran-original,4,64,64,2048,4096,512,512,7,10,device,  9.2316499999998969E-04,  9.0597949999999747E-04
tdma,fortran-original,4,64,64,2048,4096,512,512,8,10,device,  9.2164299999999977E-04,  9.0510024999999536E-04
tdma,fortran-original,4,64,64,2048,4096,512,512,9,10,device,  9.1648500000000854E-04,  8.9923200000000328E-04
tdma,cuda-cxx,4,64,64,2048,4096,512,512,0,10,host,0.070361428,0.07035117725
tdma,cuda-cxx,4,64,64,2048,4096,512,512,1,10,host,0.01382726,0.01378998625
tdma,cuda-cxx,4,64,64,2048,4096,512,512,2,10,host,0.001056055,0.0010363575
tdma,cuda-cxx,4,64,64,2048,4096,512,512,3,10,host,0.001016636,0.0009970135
tdma,cuda-cxx,4,64,64,2048,4096,512,512,4,10,host,0.001027472,0.0010098255
tdma,cuda-cxx,4,64,64,2048,4096,512,512,5,10,host,0.001396045,0.00137768225
tdma,cuda-cxx,4,64,64,2048,4096,512,512,6,10,host,0.001012499,0.00099575875
tdma,cuda-cxx,4,64,64,2048,4096,512,512,7,10,host,0.001020901,0.00100363625
